,Season,Tm,log(PER * MP)
236,2019-2020,SAS,12.583542758255055
237,2019-2020,TOR,12.508970672528806
238,2019-2020,UTA,12.702427071839596
239,2019-2020,WAS,12.545389397562937
240,2021-2022,ATL,12.823748724041685
241,2021-2022,BOS,12.796281771857267
242,2021-2022,BRK,12.664917420327294
243,2021-2022,CHI,12.76276258434611
244,2021-2022,CHO,12.821347788699878
245,2021-2022,CLE,12.719952861297516
246,2021-2022,DAL,12.722786230449083
247,2021-2022,DEN,12.763207687291517
248,2021-2022,DET,12.52885979184558
249,2021-2022,GSW,12.758856631387319
250,2021-2022,HOU,12.614559087900581
251,2021-2022,IND,12.491211260576721
252,2021-2022,LAC,12.677479743249721
253,2021-2022,LAL,12.705923842685817
254,2021-2022,MEM,12.864117031727154
255,2021-2022,MIA,12.765856594468685
256,2021-2022,MIL,12.750969166318628
257,2021-2022,MIN,12.800356438373354
258,2021-2022,NOP,12.708696198099206
259,2021-2022,NYK,12.714065358428218
260,2021-2022,OKC,12.464694919408815
261,2021-2022,ORL,12.573281778187052
262,2021-2022,PHI,12.79242166046698
263,2021-2022,PHO,12.808643327565786
264,2021-2022,POR,12.460741882692
265,2021-2022,SAC,12.556426788212528
266,2021-2022,SAS,12.696407557371044
267,2021-2022,TOR,12.789772906536637
268,2021-2022,UTA,12.82390266648691
269,2021-2022,WAS,12.645324893713688
270,2022-2023,ATL,12.743186261117563
271,2022-2023,BOS,12.763625885924759
272,2022-2023,BRK,12.577416654110309
273,2022-2023,CHI,12.726144314705998
274,2022-2023,CHO,12.556028152788116
275,2022-2023,CLE,12.735204220748981
276,2022-2023,DAL,12.628526469589882
277,2022-2023,DEN,12.74269105493448
278,2022-2023,DET,12.498722069864456
279,2022-2023,GSW,12.678557289411046
280,2022-2023,HOU,12.592592399502706
281,2022-2023,IND,12.667274231219155
282,2022-2023,LAC,12.588742842304367
283,2022-2023,LAL,12.619016552582966
284,2022-2023,MEM,12.713753010976738
285,2022-2023,MIA,12.622861951614585
286,2022-2023,MIL,12.658314520712505
287,2022-2023,MIN,12.644658585263192
288,2022-2023,NOP,12.660498464852907
289,2022-2023,NYK,12.743533261633083
290,2022-2023,OKC,12.635579180187046
291,2022-2023,ORL,12.5706296537705
292,2022-2023,PHI,12.743013148182904
293,2022-2023,PHO,12.594069083366335
294,2022-2023,POR,12.59926632587468
295,2022-2023,SAC,12.758236735806786
296,2022-2023,SAS,12.428141136467557
297,2022-2023,TOR,12.727358303247799
298,2022-2023,UTA,12.592264588969872
299,2022-2023,WAS,12.65815157854908
