Index,Rk,Season,Team,Tm,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1
0,1,2012-2013,Oklahoma City Thunder,OKC,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197
1,2,2012-2013,Miami Heat,MIA,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73.0,0.2
2,3,2012-2013,Los Angeles Clippers,LAC,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229
3,4,2012-2013,San Antonio Spurs,SAS,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.179
4,5,2012-2013,Denver Nuggets,DEN,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193
5,6,2012-2013,New York Knicks,NYK,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.216
6,7,2012-2013,Memphis Grizzlies,MEM,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,0.475,15.2,74.3,0.209
7,8,2012-2013,Indiana Pacers,IND,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197
8,9,2012-2013,Houston Rockets,HOU,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196
9,10,2012-2013,Brooklyn Nets,BRK,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174
10,11,2012-2013,Los Angeles Lakers,LAL,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,0.512,13.9,27.0,0.239,0.496,11.9,74.3,0.163
11,12,2012-2013,Golden State Warriors,GSW,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211
12,13,2012-2013,Atlanta Hawks,ATL,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181
13,14,2012-2013,Chicago Bulls,CHI,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206
14,15,2012-2013,Utah Jazz,UTA,26.3,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,0.501,14.0,73.2,0.226
15,16,2012-2013,Boston Celtics,BOS,29.1,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216
16,17,2012-2013,Dallas Mavericks,DAL,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13.0,21.8,0.192,0.492,13.3,73.1,0.227
17,18,2012-2013,Milwaukee Bucks,MIL,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201
18,19,2012-2013,Toronto Raptors,TOR,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13.0,25.5,0.216,0.5,13.6,73.4,0.247
19,20,2012-2013,Minnesota Timberwolves,MIN,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187
20,21,2012-2013,Washington Wizards,WAS,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206
21,22,2012-2013,Portland Trail Blazers,POR,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189
22,23,2012-2013,Philadelphia 76ers,PHI,25.2,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,-3.7,91.0,0.2,0.209,0.509,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2
23,24,2012-2013,Detroit Pistons,DET,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73.0,0.209
24,25,2012-2013,New Orleans Hornets,NOH,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208
25,26,2012-2013,Cleveland Cavaliers,CLE,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225
26,27,2012-2013,Sacramento Kings,SAC,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71.0,0.227
27,28,2012-2013,Phoenix Suns,PHO,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208
28,29,2012-2013,Orlando Magic,ORL,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195
29,30,2012-2013,Charlotte Bobcats,CHA,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197
30,1,2013-2014,San Antonio Spurs,SAS,28.9,62,20,61,21,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
31,2,2013-2014,Los Angeles Clippers,LAC,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222
32,3,2013-2014,Oklahoma City Thunder,OKC,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221
33,4,2013-2014,Miami Heat,MIA,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212
34,5,2013-2014,Golden State Warriors,GSW,26.3,51,31,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
35,6,2013-2014,Indiana Pacers,IND,27.2,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
36,7,2013-2014,Houston Rockets,HOU,25.4,54,28,53,29,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
37,8,2013-2014,Portland Trail Blazers,POR,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194
38,9,2013-2014,Toronto Raptors,TOR,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
39,10,2013-2014,Phoenix Suns,PHO,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237
40,11,2013-2014,Minnesota Timberwolves,MIN,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
41,12,2013-2014,Dallas Mavericks,DAL,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
42,13,2013-2014,Chicago Bulls,CHI,28.6,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
43,14,2013-2014,Memphis Grizzlies,MEM,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
44,15,2013-2014,Washington Wizards,WAS,26.3,44,38,45,37,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22
45,16,2013-2014,Charlotte Bobcats,CHA,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
46,17,2013-2014,Atlanta Hawks,ATL,27.5,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196
47,18,2013-2014,New York Knicks,NYK,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14.0,74.3,0.245
48,19,2013-2014,Brooklyn Nets,BRK,30.0,44,38,38,44,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
49,20,2013-2014,Denver Nuggets,DEN,26.0,36,46,35,47,-2.15,0.75,-1.4,106.0,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233
50,21,2013-2014,New Orleans Pelicans,NOP,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
51,22,2013-2014,Sacramento Kings,SAC,24.9,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
52,23,2013-2014,Cleveland Cavaliers,CLE,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199
53,24,2013-2014,Detroit Pistons,DET,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
54,25,2013-2014,Boston Celtics,BOS,25.4,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
55,26,2013-2014,Orlando Magic,ORL,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211
56,27,2013-2014,Los Angeles Lakers,LAL,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192
57,28,2013-2014,Utah Jazz,UTA,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
58,29,2013-2014,Milwaukee Bucks,MIL,24.7,15,67,20,62,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
59,30,2013-2014,Philadelphia 76ers,PHI,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
60,1,2014-2015,Golden State Warriors,GSW,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
61,2,2014-2015,Los Angeles Clippers,LAC,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
62,3,2014-2015,San Antonio Spurs,SAS,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
63,4,2014-2015,Atlanta Hawks,ATL,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
64,5,2014-2015,Cleveland Cavaliers,CLE,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
65,6,2014-2015,Portland Trail Blazers,POR,27.0,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
66,7,2014-2015,Houston Rockets,HOU,27.6,56,26,50,32,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208
67,8,2014-2015,Memphis Grizzlies,MEM,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
68,9,2014-2015,Toronto Raptors,TOR,26.1,49,33,49,33,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208
69,10,2014-2015,Chicago Bulls,CHI,28.8,50,32,50,32,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182
70,11,2014-2015,Dallas Mavericks,DAL,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
71,12,2014-2015,Oklahoma City Thunder,OKC,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
72,13,2014-2015,New Orleans Pelicans,NOP,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
73,14,2014-2015,Washington Wizards,WAS,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21
74,15,2014-2015,Milwaukee Bucks,MIL,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
75,16,2014-2015,Indiana Pacers,IND,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217
76,17,2014-2015,Utah Jazz,UTA,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199
77,18,2014-2015,Boston Celtics,BOS,25.0,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208
78,19,2014-2015,Phoenix Suns,PHO,25.7,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221
79,20,2014-2015,Detroit Pistons,DET,25.9,32,50,38,44,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192
80,21,2014-2015,Miami Heat,MIA,28.5,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213
81,22,2014-2015,Brooklyn Nets,BRK,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185
82,23,2014-2015,Charlotte Hornets,CHO,26.0,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188
83,24,2014-2015,Denver Nuggets,DEN,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239
84,25,2014-2015,Sacramento Kings,SAC,26.0,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2
85,26,2014-2015,Orlando Magic,ORL,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21
86,27,2014-2015,Los Angeles Lakers,LAL,27.0,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231
87,28,2014-2015,Minnesota Timberwolves,MIN,24.4,16,66,19,63,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187
88,29,2014-2015,Philadelphia 76ers,PHI,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16.0,25.5,0.195,0.497,15.2,73.0,0.225
89,30,2014-2015,New York Knicks,NYK,26.9,17,65,17,65,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234
90,1,2015-2016,San Antonio Spurs,SAS,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23.0,0.197,0.477,14.1,79.1,0.182
91,2,2015-2016,Golden State Warriors,GSW,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208
92,3,2015-2016,Oklahoma City Thunder,OKC,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205
93,4,2015-2016,Cleveland Cavaliers,CLE,28.1,57,25,57,25,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205
94,5,2015-2016,Toronto Raptors,TOR,26.3,56,26,53,29,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201
95,6,2015-2016,Los Angeles Clippers,LAC,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222
96,7,2015-2016,Atlanta Hawks,ATL,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194
97,8,2015-2016,Boston Celtics,BOS,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231
98,9,2015-2016,Charlotte Hornets,CHO,26.0,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191
99,10,2015-2016,Utah Jazz,UTA,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21
100,11,2015-2016,Miami Heat,MIA,28.4,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196
101,12,2015-2016,Indiana Pacers,IND,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205
102,13,2015-2016,Portland Trail Blazers,POR,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108.0,0.8,96.0,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225
103,14,2015-2016,Detroit Pistons,DET,25.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27.0,0.197,0.504,12.5,79.3,0.196
104,15,2015-2016,Houston Rockets,HOU,27.8,41,41,42,40,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219
105,16,2015-2016,Dallas Mavericks,DAL,30.3,42,40,40,42,-0.3,0.29,-0.02,106.7,107.0,-0.3,94.3,0.265,0.339,0.544,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198
106,17,2015-2016,Washington Wizards,WAS,27.3,41,41,40,42,-0.5,0.0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218
107,18,2015-2016,Chicago Bulls,CHI,27.6,42,40,37,45,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182
108,19,2015-2016,Orlando Magic,ORL,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215
109,20,2015-2016,Sacramento Kings,SAC,26.6,33,49,34,48,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202
110,21,2015-2016,Memphis Grizzlies,MEM,30.5,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251
111,22,2015-2016,New York Knicks,NYK,27.2,32,50,33,49,-2.73,0.0,-2.74,104.6,107.6,-3.0,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204
112,23,2015-2016,Denver Nuggets,DEN,24.7,33,49,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216
113,24,2015-2016,Minnesota Timberwolves,MIN,24.6,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2
